attack_type,stream,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,device_mac,eth_src_oui,eth_dst_oui
Benign,12765,3c:18:a0:41:c3:a0,AeoTec Smart Home Hub,192.168.137.1,192.168.137.86,53,57647,AeoTec Smart Home Hub,Luxshare Precision Industry Company Limited,"SAMJIN Co., Ltd."
Benign,6257,Wyze Camera,3c:18:a0:41:c3:a0,192.168.137.227,52.26.167.43,32919,8443,Wyze Camera,Wyze Labs Inc,Luxshare Precision Industry Company Limited
Benign,4,Amazon Echo Dot 1,3c:18:a0:41:c3:a0,192.168.137.250,35.175.71.102,51440,443,Amazon Echo Dot 1,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,119,56:4f:8a:e1:f3:2d,01:00:5e:00:00:fb,192.168.137.51,224.0.0.251,5353,5353,56:4f:8a:e1:f3:2d,none,IPv4 Multicast
Benign,184,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.154.34.86,192.168.137.175,443,35130,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1658,3c:18:a0:41:c3:a0,Amazon Echo Show,192.168.137.1,192.168.137.172,53,2202,Amazon Echo Show,Luxshare Precision Industry Company Limited,Amazon Technologies Inc.
Benign,120,3c:18:a0:41:c3:a0,Teckin Light Strip,100.20.212.253,192.168.137.31,8886,40454,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,Tuya Smart Inc.
Benign,352,3c:18:a0:41:c3:a0,56:4f:8a:e1:f3:2d,192.168.137.1,192.168.137.51,53,49537,56:4f:8a:e1:f3:2d,Luxshare Precision Industry Company Limited,none
Benign,423,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,176.34.92.25,192.168.137.175,443,41687,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,3861,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,192.168.137.1,192.168.137.41,53,35570,ac:17:02:05:34:27,Luxshare Precision Industry Company Limited,Fibar Group sp. z o.o.
Benign,847,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,18.200.147.176,58349,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,5,GoSund Bulb,ff:ff:ff:ff:ff:ff,192.168.137.7,255.255.255.255,49154,6667,GoSund Bulb,Espressif Inc.,Broadcast
Benign,256,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.73.113.41,55915,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,473,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.34.222.156,192.168.137.175,443,48984,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,102,AeoTec Smart Home Hub,3c:18:a0:41:c3:a0,192.168.137.86,13.225.195.99,47200,443,AeoTec Smart Home Hub,"SAMJIN Co., Ltd.",Luxshare Precision Industry Company Limited
Benign,232,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,99.80.103.31,58365,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,66,Amazon Echo Studio,Amazon Echo Dot 2,192.168.137.83,192.168.137.58,40412,55443,Amazon Echo Studio,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,4074,Amazon Echo Show,3c:18:a0:41:c3:a0,192.168.137.172,13.225.189.191,52474,443,Amazon Echo Show,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,491,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.75.102.25,192.168.137.175,443,34567,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,243,Sonos One Speaker,3c:18:a0:41:c3:a0,192.168.137.148,54.231.172.105,59490,80,Sonos One Speaker,"Sonos, Inc.",Luxshare Precision Industry Company Limited
Benign,537,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.242.17.206,192.168.137.175,443,50800,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
DoS-HTTP_Flood,7980,dc:a6:32:dc:27:d5,Raspberry Pi 4-2 GB,192.168.137.66,192.168.137.141,40864,80,dc:a6:32:dc:27:d5,Raspberry Pi Trading Ltd,Raspberry Pi Trading Ltd
Benign,-1,d4:81:d7:97:d0:29,33:33:00:00:00:16,,,0,0,d4:81:d7:97:d0:29,Dell Inc.,IPv6 Multicast
Benign,954,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,109.95.152.166,53747,443,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,0,Nest Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.46,35.185.101.66,41206,443,Nest Indoor Camera,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,363,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.214.197.222,45931,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,198,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.210.196.179,42325,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,139,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.16.52.139,51260,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,1078,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.210.66.142,59431,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,401,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.49.29.109,192.168.137.175,443,55076,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1218,Home Eye Camera,3c:18:a0:41:c3:a0,192.168.137.133,3.221.182.58,29280,32100,Home Eye Camera,"Shenzhen Rf-Link Technology Co.,Ltd.",Luxshare Precision Industry Company Limited
Benign,6,HeimVision SmartLife Radio/Lamp,3c:18:a0:41:c3:a0,192.168.137.136,54.148.153.241,40774,8886,HeimVision SmartLife Radio/Lamp,Tuya Smart Inc.,Luxshare Precision Industry Company Limited
Benign,-1,00:a3:d1:07:6f:03,01:80:c2:00:00:00,,,0,0,00:a3:d1:07:6f:03,"Cisco Systems, Inc",IEEE 802.1 Chair
Benign,-1,Yi Indoor 2 Camera,3c:18:a0:41:c3:a0,192.168.137.249,8.8.4.4,0,0,Yi Indoor 2 Camera,AltoBeam (China) Inc.,Luxshare Precision Industry Company Limited
Benign,37,24:05:88:30:6f:89,3c:18:a0:41:c3:a0,192.168.137.207,172.253.115.188,56513,5228,24:05:88:30:6f:89,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,8,Amazon Echo Show,3c:18:a0:41:c3:a0,192.168.137.172,3.217.147.217,39172,443,Amazon Echo Show,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,4771,e8:1b:69:f8:d6:e6,3c:18:a0:41:c3:a0,192.168.137.131,162.159.200.1,60314,123,e8:1b:69:f8:d6:e6,Sercomm Corporation.,Luxshare Precision Industry Company Limited
Benign,944,harman kardon (Ampak Technology),3c:18:a0:41:c3:a0,192.168.137.47,192.168.137.1,45473,53,harman kardon (Ampak Technology),"AMPAK Technology, Inc.",Luxshare Precision Industry Company Limited
Benign,2107,Yi Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.39,47.90.209.117,16047,32100,Yi Indoor Camera,AltoBeam (China) Inc.,Luxshare Precision Industry Company Limited
Benign,363,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.214.197.222,192.168.137.175,443,45931,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,133,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.195.180.27,192.168.137.175,443,42902,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,5840,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,157.249.81.141,192.168.137.41,80,59595,ac:17:02:05:34:27,Luxshare Precision Industry Company Limited,Fibar Group sp. z o.o.
Benign,898,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,99.80.218.101,46897,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,1,Nest Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.46,35.185.101.66,57480,443,Nest Indoor Camera,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,1122,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.35.108.36,192.168.137.175,443,42090,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,894,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,34.252.212.228,37813,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,537,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,34.242.17.206,50800,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,318,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.214.197.222,192.168.137.175,443,45919,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,856,LG Smart TV,3c:18:a0:41:c3:a0,192.168.137.253,173.198.192.103,42496,4431,LG Smart TV,LG Innotek,Luxshare Precision Industry Company Limited
Benign,963,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.19.203.115,46518,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,852,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.243.231.175,192.168.137.175,443,34998,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
XSS,35,GoSund Smart Plug WP2 (2),ff:ff:ff:ff:ff:ff,192.168.137.8,255.255.255.255,49154,6667,GoSund Smart Plug WP2 (2),Espressif Inc.,Broadcast
Benign,1026,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,18.200.66.16,38639,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,949,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.209.241.1,45428,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,3,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,195.88.50.100,192.168.137.41,22,43102,ac:17:02:05:34:27,Luxshare Precision Industry Company Limited,Fibar Group sp. z o.o.
Benign,1171,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.210.96.251,40287,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,924,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.210.83.85,192.168.137.175,443,57263,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,5213,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,109.95.152.166,49929,443,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,1,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.77.42.87,41463,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,2001,Home Eye Camera,3c:18:a0:41:c3:a0,192.168.137.133,47.112.162.49,21942,32100,Home Eye Camera,"Shenzhen Rf-Link Technology Co.,Ltd.",Luxshare Precision Industry Company Limited
Benign,1015,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.247.21.4,192.168.137.175,443,50804,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,401,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.49.29.109,55076,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,107,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,109.95.152.66,48112,443,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,39,Amazon Echo Studio,Amazon Echo Dot 2,192.168.137.83,192.168.137.58,43450,55443,Amazon Echo Studio,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,828,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.32.131.98,192.168.137.175,443,40360,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1078,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.210.66.142,192.168.137.175,443,59431,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,277,Amazon Echo Dot 2,harman kardon (Ampak Technology),192.168.137.58,192.168.137.47,55443,58541,Amazon Echo Dot 2,Amazon Technologies Inc.,"AMPAK Technology, Inc."
Benign,4073,Amazon Echo Show,3c:18:a0:41:c3:a0,192.168.137.172,13.225.189.191,52472,443,Amazon Echo Show,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Brute_Force,2424,SmartThings Hub,3c:18:a0:41:c3:a0,192.168.137.247,52.205.6.197,41634,443,SmartThings Hub,"SAMJIN Co., Ltd.",Luxshare Precision Industry Company Limited
Benign,297,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,3.248.22.187,55956,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,991,Netatmo Camera,3c:18:a0:41:c3:a0,192.168.137.35,51.145.143.28,58861,443,Netatmo Camera,Netatmo,Luxshare Precision Industry Company Limited
Benign,972,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.51.100.129,192.168.137.175,443,51134,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1043,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.243.231.175,192.168.137.175,443,33328,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,363,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.214.197.222,45931,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,815,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.51.99.76,47844,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,1122,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.35.108.36,192.168.137.175,443,42090,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,628,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.76.170.94,43045,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,626,Amazon Echo Show,3c:18:a0:41:c3:a0,192.168.137.172,13.225.189.112,46006,443,Amazon Echo Show,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,7887,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,192.168.137.1,53881,53,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,44,Amazon Echo Dot 2,Amazon Echo Studio,192.168.137.58,192.168.137.83,55443,43444,Amazon Echo Dot 2,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,19,b0:09:da:3e:82:6c,3c:18:a0:41:c3:a0,192.168.137.118,3.238.78.232,56404,443,b0:09:da:3e:82:6c,Ring Solutions,Luxshare Precision Industry Company Limited
Benign,7376,Wyze Camera,3c:18:a0:41:c3:a0,192.168.137.227,8.8.4.4,43909,53,Wyze Camera,Wyze Labs Inc,Luxshare Precision Industry Company Limited
Benign,1,Nest Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.46,35.185.101.66,57480,443,Nest Indoor Camera,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,168,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.77.27.122,49517,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,36,3c:18:a0:41:c3:a0,Cocoon Smart HVAC Fan,3.12.33.198,192.168.137.171,1883,51529,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,Espressif Inc.
Benign,0,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,99.81.244.93,192.168.137.175,443,56891,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1,Nest Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.46,35.185.101.66,57480,443,Nest Indoor Camera,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,139,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.16.52.139,51260,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,628,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.76.170.94,192.168.137.175,443,43045,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,54,Amazon Echo Studio,3c:18:a0:41:c3:a0,192.168.137.83,52.4.42.191,41993,443,Amazon Echo Studio,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,928,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.30.25.100,192.168.137.175,443,47330,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,7730,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,157.249.81.141,60567,443,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,10,Teckin Light Strip,ff:ff:ff:ff:ff:ff,192.168.137.31,255.255.255.255,49287,6667,Teckin Light Strip,Tuya Smart Inc.,Broadcast
Benign,75,Gosund Power strip (1),3c:18:a0:41:c3:a0,192.168.137.62,35.162.13.26,9435,8886,Gosund Power strip (1),Espressif Inc.,Luxshare Precision Industry Company Limited
Benign,27,Amazon Echo Show,Amazon Echo Dot 2,192.168.137.172,192.168.137.58,55444,55444,Amazon Echo Show,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,2,Yutron Plug 2,ff:ff:ff:ff:ff:ff,192.168.137.167,255.255.255.255,49229,6667,Yutron Plug 2,Tuya Smart Inc.,Broadcast
Benign,675,SmartThings Hub,3c:18:a0:41:c3:a0,192.168.137.186,52.205.6.197,52944,443,SmartThings Hub,"SAMJIN Co., Ltd.",Luxshare Precision Industry Company Limited
Benign,188,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,157.249.81.141,51903,80,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,990,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.208.195.227,55959,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,5776,56:4f:8a:e1:f3:2d,3c:18:a0:41:c3:a0,192.168.137.51,54.213.56.176,63845,443,56:4f:8a:e1:f3:2d,none,Luxshare Precision Industry Company Limited
Benign,256,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.73.113.41,192.168.137.175,443,55915,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,908,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.30.25.100,192.168.137.175,443,45427,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
DoS-HTTP_Flood,1918,dc:a6:32:dc:27:d5,dc:a6:32:c9:e4:c6,192.168.137.66,192.168.137.71,50316,80,dc:a6:32:dc:27:d5,Raspberry Pi Trading Ltd,Raspberry Pi Trading Ltd
Benign,184,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.154.34.86,192.168.137.175,443,35130,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,4483,3c:18:a0:41:c3:a0,Amazon Echo Dot 1,192.168.137.1,192.168.137.250,53,57724,Amazon Echo Dot 1,Luxshare Precision Industry Company Limited,Amazon Technologies Inc.
Benign,698,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.208.228.62,45213,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,139,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.16.52.139,192.168.137.175,443,51260,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,53,3c:18:a0:41:c3:a0,Wyze Camera,192.99.160.133,192.168.137.227,10001,45855,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,Wyze Labs Inc
Brute_Force,1582,Netatmo Camera,3c:18:a0:41:c3:a0,192.168.137.253,51.145.143.28,57157,443,Netatmo Camera,Netatmo,Luxshare Precision Industry Company Limited
Benign,620,Amazon Echo Show,3c:18:a0:41:c3:a0,192.168.137.172,13.225.189.112,45992,443,Amazon Echo Show,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,73,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.31.220.16,46299,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,255,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,99.81.57.97,36660,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,6,HeimVision SmartLife Radio/Lamp,3c:18:a0:41:c3:a0,192.168.137.136,54.148.153.241,40774,8886,HeimVision SmartLife Radio/Lamp,Tuya Smart Inc.,Luxshare Precision Industry Company Limited
Benign,568,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,3.248.22.187,56028,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,1114,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.246.196.149,192.168.137.175,443,55483,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,3554,3c:18:a0:41:c3:a0,harman kardon (Ampak Technology),192.168.137.1,192.168.137.47,53,44052,harman kardon (Ampak Technology),Luxshare Precision Industry Company Limited,"AMPAK Technology, Inc."
Benign,817,3c:18:a0:41:c3:a0,Amazon Echo Show,54.209.44.8,192.168.137.172,443,58692,Amazon Echo Show,Luxshare Precision Industry Company Limited,Amazon Technologies Inc.
Benign,832,SmartThings Hub,3c:18:a0:41:c3:a0,192.168.137.186,13.225.195.7,54040,443,SmartThings Hub,"SAMJIN Co., Ltd.",Luxshare Precision Industry Company Limited
Benign,0,HeimVision Smart WiFi Camera,01:00:5e:7f:ff:fa,192.168.137.90,239.255.255.250,37020,37000,HeimVision Smart WiFi Camera,Shenzhen Bilian Electronic Co.£¬Ltd,IPv4 Multicast
Benign,496,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.211.91.196,33072,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,385,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,109.95.152.66,48948,443,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,1043,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.243.231.175,192.168.137.175,443,33328,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,840,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.215.241.57,33460,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,778,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.243.9.188,192.168.137.175,443,48089,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,436,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,63.35.30.30,59957,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,673,LG Smart TV,3c:18:a0:41:c3:a0,192.168.137.253,173.198.192.103,34516,4431,LG Smart TV,LG Innotek,Luxshare Precision Industry Company Limited
Benign,12,GoSund Smart plug WP2 (1),ff:ff:ff:ff:ff:ff,192.168.137.79,255.255.255.255,49154,6667,GoSund Smart plug WP2 (1),Espressif Inc.,Broadcast
Benign,973,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.72.111.213,43894,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,840,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,3.248.67.251,47675,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,744,3c:18:a0:41:c3:a0,Wyze Camera,8.8.4.4,192.168.137.227,53,53802,Wyze Camera,Luxshare Precision Industry Company Limited,Wyze Labs Inc
Benign,3324,Rbcior Camera,3c:18:a0:41:c3:a0,192.168.137.76,192.168.137.1,47310,53,Rbcior Camera,Tuya Smart Inc.,Luxshare Precision Industry Company Limited
Benign,1187,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,99.81.244.93,33992,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,4068,Amazon Echo Show,3c:18:a0:41:c3:a0,192.168.137.172,13.225.189.191,52462,443,Amazon Echo Show,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,-1,Gosund Power strip (1),ff:ff:ff:ff:ff:ff,,,0,0,Gosund Power strip (1),Espressif Inc.,Broadcast
